DBN,Cohort,Total Enrolled,Total Present,Average Attendance
04M050,2008,87700.0,78863.0,0.899236031927024
04M057,2006,128639.0,118630.0,0.9221931140633867
04M057,2007,128349.0,118515.0,0.9233807820863427
04M057,2008,134688.0,124287.0,0.9227770848182466
04M072,2006,109680.0,100961.0,0.9205051057622173
04M072,2007,108230.0,99466.0,0.9190243001016354
04M072,2008,103351.0,94211.0,0.9115635068843069
04M083,2006,75548.0,69790.0,0.9237835548260709
04M083,2007,77176.0,71750.0,0.9296931688607858
04M083,2008,78237.0,72955.0,0.9324871863696205
04M096,2006,118448.0,107405.0,0.9067692151830339
04M096,2007,124245.0,111466.0,0.8971467664694757
04M096,2008,111886.0,99984.0,0.8936238671504925
